proj_unixname	description
dhtmlwindowmngr	DHTML-Window-Manager is a free Window-Manager inside a Webbrowser.
dhttpd	Another fast and secure webserver. Started as a toy, growing up to be an apache killer. Making life easier for admins. Fully featured. Fully secure. Fully blazing.
dhttproxy	DHTTProxy is an http proxy server that implements content filters, (transparent) redirection, and works transparently.
dhubler	Configuration framework for installing, upgrading and configuring system applications.
dhvani	dhvani - A Text-to-Speech System for Indian Languages developed by the Simputer Trust developers and others. Current - C/Linux implementation, Hindi, Kannada, Tamil, Malayalam Support. Soon - better phonetic engine, Java port, language independent framew
dhwt	DHTML Window Toolkit project&#039;s purpose is to create a Java ServerFace based Microsoft Common Control style implementation to ease the pain from migrating MS web application to Java platform
dhx	A web based system for management of all entities involved in the production and retail of windows and doors using Java.
dhyana	dhyana is a gui (written in gtk2-perl) that allows to transfer files from/to a number of portable audio player devices including the nomad jukebox, the zen series and others. it includes a powerful audio file tagger.
di-interpreter	text-based, syntax-strict, interpreted, language whose interprtation program is programmed in C++ using the AP libraries (apstring, apvector).
di3	DI3 is a distributed information retrieval system
di3d	An opensourced modeling/rendering package with a highly modular framework.
dia-grams	Various Dia add-ons, including objects, templates, etc.
dia-pyatt	PyAttributes is a plugin for the diagram editor Dia that enables you to add arbitrary metadata to a diagram and it&#039;s content.
dia2anim	dia2anim creates a GIF animation from a schematic of a scene (drawn using\nDia).
dia2code	This program generates code from an UML Dia Diagram. Currently supported languages are: Ada, C, C++, C#, IDL, Java, PHP, PHP5, Python, Ruby, shapefiles and SQL.
dia2cpp	Convert dia design to C++ files.
dia2fsm	dia2fsm reads DIA diagram files constructed in the prescribed format and produces Finite State Machine (FSM) skeleton code. dia2fsm currently supports code generation to C and C++ and is built on Win32 (WIN2K) only.
dia2sql	Dia2SQL is a Perl script to convert UML objects in DIA ( see http://www.lysator.liu.se/~alla/dia/ for more info on DIA ). Currently, it processes Dia documents exported as Encapsulated PostScript ( EPS ).
dia2sqlpy	A Python script to convert Dia XML files storing a UML diagram into SQL create statements.  Ideal for designing a database with Dia and creating it on MySQL or PostgreSQL.
diaanpro	This project is about developing a simple webbased tool for diabetic patients. People can enter their sugar-levels and this tool will store this for analysis. In the future this will be extended with information about the patient has eaten.
diaav	Dia-AV is written in Visual Basic 6 for MS Windows XP. The project&#039;s purpose is to provide a program for organising your slide, CD or musicfile collection.
diabeteo	Diabeteo offers opportunity to simulate the effects of changes in insulin and diet on the blood glucose profile of a diabetic patient. It can upload meter and insulin dosing data and generate charts to help identify patterns.
diabetesdiary	This is a project to make a web-based diabetes diary, logging blood sugar, medicine, excercise, and other info for both home based devices and WAP (mobile phones, PDAs, etc.), plus adding the options for customer alarms via SMS and/or e-mail.
diabetestools	The home page is up to date now and I am looking for a way to fund the development of this project. Look at the home page for more inforamtion on what it&#039;s about and the news items below for the latest developments.
diabetic-log	Diabetic Log Book is a simple yet very functional log book to keep track of blood sugar readings, time, dates, insulin dossages, etc ...
diablo	Diablo Bot is an extensive IRC Bot written entirely in perl. Current development versions include expanded command flexibility, easy modular support, and isolated configurations for multipule networks.
diablo95	All POSIX (Linux/BSD/UNIX-like OSes)
diablog	Diablog is a web-based blogging tool that requires no databases. Uses XML for data storage.
diabloiiasernal	The aim is to provide a handy tool to manage items for Diablo II characters. It is different from other .d2s related projects that D2Arsenal observes the rules and won\\&#039;t spoil the game.
diacanvas	DiaCanvas is a library for drawing diagrams. It is completely Model/View/Controller based and has a Visio (DIA) look. The package also contains a Python wrapper for the library.
diacritice	Project &quot;Diacritice&quot; promotes the use of Romanian diacritics when using free software tools to read, write or manipulate Romanian text.
diacze	You can use this application to create UML,EML diagrams,ER,ERD,state diagrams,network topology schema,Cisco networks,component models,process models, business models.\nIn many ways this application contain more functions than Microsoft Visio and it is fre
diadbdesigner	DiaDBDesigner is a standalone module for constructing databases with the help of the diagram creation program Dia. In an easy to use environment you can join multiple diagrams together to form one model of interconnected tables.
diagnose	Customizable WYSIWYG vector editor with powerful support for any kind of diagram creation (flowcharts, sequence diagrams, etc.)
diagram	This has evolved into GreenUML. See http://green.sf.net. This package is 100% pure Java(tm) designed for use with a 1.3 or better JRE. The package implements a Swing component that enables the creation of many types of diagram, flowcharts or similar tool
diagramador	Is a software for design algorithms by diagrams.\nEs un software para diseñar algoritmos de diagramas de flujo.
diagunit	A diagnostic tool for the C++ program.
diakonos-editor	Diakonos is a customizable, usable console-based text editor. Scripting, bookmarking, regexp searching, parsed indentation, macros, a multi-element clipboard, multi-level undo, a customizable status line, keybindings, syntax highlighting.
